noc,year,medal,country,gdp,population,
ARG,1960,4,Argentina,1.16E+02,20481779,
ARG,1964,1,Argentina,1.26E+02,21824425,
ARG,1968,2,Argentina,1.50E+02,23168267,
ARG,1972,1,Argentina,1.82E+02,24653175,
ARG,1976,0,Argentina,1.93E+02,26264681,
ARG,1980,0,Argentina,2.21E+02,27896528,
ARG,1984,0,Argentina,2.20E+02,29737093,
ARG,1988,13,Argentina,2.25E+02,31668949,
ARG,1992,2,Argentina,2.40E+02,33529326,
ARG,1996,20,Argentina,2.82E+02,35246374,
ARG,2000,20,Argentina,3.03E+02,36870787,
ARG,2004,49,Argentina,3.06E+02,38491972,
ARG,2008,51,Argentina,4.09E+02,40080160,
ARG,2012,19,Argentina,4.44E+02,41733271,
ARG,2016,22,Argentina,4.46E+02,43590368,
AUS,1960,46,Australia,1.99E+02,10276477,
AUS,1964,44,Australia,2.35E+02,11167000,
AUS,1968,51,Australia,2.85E+02,12009000,
AUS,1972,20,Australia,3.53E+02,13177000,
AUS,1976,23,Australia,3.92E+02,14033000,
AUS,1980,13,Australia,4.39E+02,14692000,
AUS,1984,52,Australia,4.80E+02,15544000,
AUS,1988,35,Australia,5.70E+02,16532200,
AUS,1992,57,Australia,6.13E+02,17495000,
AUS,1996,136,Australia,7.15E+02,18311000,
AUS,2000,184,Australia,8.49E+02,19153000,
AUS,2004,159,Australia,9.65E+02,20127400,
AUS,2008,151,Australia,1.10E+03,21249200,
AUS,2012,117,Australia,1.22E+03,22733465,
AUS,2016,85,Australia,1.35E+03,24190907,
BRA,1960,13,Brazil,2.47E+02,72179226,
BRA,1964,12,Brazil,2.99E+02,81064571,
BRA,1968,4,Brazil,3.75E+02,90387079,
BRA,1972,2,Brazil,5.58E+02,99859383,
BRA,1976,3,Brazil,8.01E+02,109790938,
BRA,1980,9,Brazil,1.01E+03,120694009,
BRA,1984,36,Brazil,9.85E+02,132383568,
BRA,1988,23,Brazil,1.19E+03,143627503,
BRA,1992,14,Brazil,1.20E+03,154259380,
BRA,1996,63,Brazil,1.41E+03,164614688,
BRA,2000,48,Brazil,1.54E+03,174790340,
BRA,2004,40,Brazil,1.72E+03,184006481,
BRA,2008,78,Brazil,2.06E+03,192030362,
BRA,2012,59,Brazil,2.34E+03,199287296,
BRA,2016,50,Brazil,2.26E+03,206163058,
CAN,1960,30,Canada,2.95E+02,17909009,
CAN,1964,12,Canada,3.67E+02,19325000,
CAN,1968,30,Canada,4.50E+02,20744000,
CAN,1972,12,Canada,5.34E+02,22218463,
CAN,1976,26,Canada,6.33E+02,23449808,
CAN,1980,2,Canada,7.20E+02,24515667,
CAN,1984,91,Canada,7.83E+02,25607053,
CAN,1988,29,Canada,9.11E+02,26791747,
CAN,1992,80,Canada,9.22E+02,28371264,
